measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,320,Cook Islands,3,Both,1,<5 years,294,All causes,85,Air pollution,3,Rate,2019,0.6769296406022429,1.565087988018646,0.12129405995389633
1,Deaths,19,Timor-Leste,3,Both,1,<5 years,294,All causes,85,Air pollution,1,Number,2019,168.26422504561512,233.03383543666547,114.89271789219816
1,Deaths,19,Timor-Leste,3,Both,1,<5 years,294,All causes,85,Air pollution,2,Percent,2019,0.13631135821084092,0.17477623027193345,0.09977597620910286
1,Deaths,19,Timor-Leste,3,Both,1,<5 years,294,All causes,85,Air pollution,3,Rate,2019,95.65196038062925,132.47107748834497,65.31224148726874
1,Deaths,380,Palau,3,Both,1,<5 years,294,All causes,85,Air pollution,1,Number,2019,0.05647471923719721,0.1340159167801525,0.007931103311699833
1,Deaths,380,Palau,3,Both,1,<5 years,294,All causes,85,Air pollution,2,Percent,2019,0.020476118398213474,0.04526786943074085,0.0033635250822130506
1,Deaths,380,Palau,3,Both,1,<5 years,294,All causes,85,Air pollution,3,Rate,2019,5.708715741478783,13.546924784491146,0.8017111892603059
1,Deaths,23,Kiribati,3,Both,1,<5 years,294,All causes,85,Air pollution,1,Number,2019,6.94561718331619,10.59867924790208,3.827291152862629
1,Deaths,23,Kiribati,3,Both,1,<5 years,294,All causes,85,Air pollution,2,Percent,2019,0.06849842279799961,0.09697155949433207,0.040831072191506765
1,Deaths,23,Kiribati,3,Both,1,<5 years,294,All causes,85,Air pollution,3,Rate,2019,47.519348554519226,72.51225054677502,26.184913091578302
1,Deaths,13,Malaysia,3,Both,1,<5 years,294,All causes,85,Air pollution,1,Number,2019,106.30147088371764,213.46411874765468,25.432899489847074
1,Deaths,13,Malaysia,3,Both,1,<5 years,294,All causes,85,Air pollution,2,Percent,2019,0.031133582868116235,0.06325568729428609,0.00727874837057703
1,Deaths,13,Malaysia,3,Both,1,<5 years,294,All causes,85,Air pollution,3,Rate,2019,4.139862243118456,8.313262630492252,0.9904726572054589
